rating,action,priceTarget,priceTargetOld,priceTargetNew,upsidePct,date,source,retrieved
Hold,Maintains,$95 → $85,95.0,85.0,3.82,2026-01-08,https://stockanalysis.com/stocks/calm/ratings/,2026-02-12
Hold,Maintains,$97 → $85,97.0,85.0,3.82,2026-01-08,https://stockanalysis.com/stocks/calm/ratings/,2026-02-12
Hold,Maintains,$105 → $95,105.0,95.0,16.04,2025-12-30,https://stockanalysis.com/stocks/calm/ratings/,2026-02-12
Strong Buy,Initiates,$100,,100.0,22.14,2025-12-01,https://stockanalysis.com/stocks/calm/ratings/,2026-02-12
Hold,Maintains,$105 → $97,105.0,97.0,18.48,2025-10-03,https://stockanalysis.com/stocks/calm/ratings/,2026-02-12
Hold,Maintains,$110 → $98,110.0,98.0,19.7,2025-10-03,https://stockanalysis.com/stocks/calm/ratings/,2026-02-12
Hold,Initiates,$110,,110.0,34.36,2025-08-14,https://stockanalysis.com/stocks/calm/ratings/,2026-02-12
Hold,Maintains,$100 → $105,100.0,105.0,28.25,2025-07-24,https://stockanalysis.com/stocks/calm/ratings/,2026-02-12
Hold,Maintains,$108 → $115,108.0,115.0,40.47,2025-07-24,https://stockanalysis.com/stocks/calm/ratings/,2026-02-12
Hold,Maintains,$97 → $108,97.0,108.0,31.92,2025-07-15,https://stockanalysis.com/stocks/calm/ratings/,2026-02-12
Hold,Initiates,$100,,100.0,22.14,2025-05-06,https://stockanalysis.com/stocks/calm/ratings/,2026-02-12
Hold,Reiterates,$97,,97.0,18.48,2025-04-23,https://stockanalysis.com/stocks/calm/ratings/,2026-02-12
Hold,Reiterates,$97,,97.0,18.48,2025-03-06,https://stockanalysis.com/stocks/calm/ratings/,2026-02-12
